City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
347,Shimoda,JP,61.11,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
348,Salalah,OM,84.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
349,Ahuimanu,US,74.91,broken clouds,21.4447,-157.8378,Paradise Bay Resort
350,Gasa,PS,69.87,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
351,Olinda,BR,83.93,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
352,Mount Gambier,AU,60.71,few clouds,-37.8333,140.7667,The Commodore
353,Quatre Cocos,MU,79.09,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
354,Dingle,PH,75.87,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
355,Vila Velha,BR,89.55,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
356,Lixourion,GR,62.6,few clouds,38.2019,20.4314,Hotel Summery
357,Sabha,LY,92.01,broken clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
358,Volosovo,RU,40.59,broken clouds,59.4333,29.4833,Nairi
359,San Andres Del Rabanedo,ES,62.78,few clouds,42.6117,-5.6167,Parador de León
360,Tabas,IR,85.89,overcast clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
361,Te Anau,NZ,43.88,scattered clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
364,Quartucciu,IT,73.65,clear sky,39.2519,9.1794,Best Western Hotel Residence Italia
365,West Bay,KY,84.07,scattered clouds,19.3667,-81.4167,Calypso Cove
366,Itarema,BR,84.16,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
367,Zhangye,CN,64.44,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
368,Si Bun Ruang,TH,84.07,broken clouds,16.9667,102.2833,ที่พักอำเภอศรีบุญเรือง รีสอร์ทบ้านสวนอินน์ BANSUAN HOTEL
369,Luena,AO,69.94,light rain,-11.7833,19.9167,Hotel Kandamba
370,Stornoway,GB,48.04,scattered clouds,58.2093,-6.3865,Caladh Inn
371,Klaksvik,FO,36.52,overcast clouds,62.2266,-6.589,Airbnb rooms
372,Sergeyevka,KZ,45.81,overcast clouds,53.88,67.4158,Amina
374,Luanda,AO,82.4,scattered clouds,-8.8368,13.2343,EPIC SANA Luanda
